Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
TrakInvest,https://www.crunchbase.com/organization/trakinvest,$1M to $10M,"Education, Finance, Financial Services, FinTech","29,502","Explore virtual social stock trading market playground that allows everyone to learn, share, and earn.",Closed,2013,For Profit,,http://twitter.com/TrakInvest,13,,,http://www.linkedin.com/company/trakinvest-pte-ltd,,http://www.facebook.com/Trakinvest,,,bobby@trakinvest.com,,"Singapore, Central Region, Singapore",,"Trakinvest is an interactive virtual world where you can enhance your investment skills, follow (trak) other traders and learn from them, and earn great prizes and jobs at the same time. Trakinvest was founded by Bobby Bhatia after spending 20 years in the investment sector, first as a Principal for J.P. Morgan Partners and then as Managing Director and Head of Principal Investments at AIG.",,http://trakinvest.com,"Education, Financial Services",,Initial Coin Offering,31,,1,2018,Initial Coin Offering,2,,30000000,30000000,30000000,30000000,,,,,,,,Private,,,,,,,,,,,,,,,967741.9355,967741.9355,,,,"Financial Services, Finance, FinTech",Financial Services & Fintech,Yes
Zepo,https://www.crunchbase.com/organization/zepo-technologies-pvt-ltd,$1M to $10M,"Consulting, E-Commerce, Internet, Logistics, Payments","30,641",Zepo helps small business sell online easily. Anyone can open their online store using Zepo in 5 minutes.,Closed,2011,For Profit,,http://twitter.com/zepo,8,,,https://www.linkedin.com/company/zepo,,http://www.facebook.com/zepo.in,,,hello@zepo.in,,"Mumbai, Maharashtra, India",+91 92 23 583358,"Zepo is the largest Complete eCommerce Solution provider for brands that want to expand and grow their online business. Their suite of services includes E-Commerce Website with payment solution, courier aggregation with premium support, automated AI driven marketing solution and marketplace selling solutions integrated with the website.  Zepo's Complete E-Commerce Solution clients achieve anywhere between 2 - 30 times the return on investment due to the consulting and marketing expertise generated by Zepo over the past 6 years of supporting businesses.",,http://www.zepo.in,"Commerce and Shopping, Financial Services, Internet Services, Payments, Professional Services, Transportation",,Venture - Series Unknown,376,,1,2017,Venture - Series Unknown,4,,501173,501173,501174,501174,,2,,,,,,Private,,,,,,,,,,,,,,,1332.909574,1332.906915,,,,"Payments, Logistics, Internet",Financial Services & Fintech,Yes
GRID Finance,https://www.crunchbase.com/organization/grid-finance,$1M to $10M,"Banking, Finance, Financial Services, FinTech, Personal Finance","30,945",The GRID is Ireland’s online financing platform where people are lending and businesses are borrowing at competitive interest rates.,Closed,2013,For Profit,,https://twitter.com/gridfinance,8,,,https://www.linkedin.com/company/grid-finance-business-loans/,,https://www.facebook.com/GRIDFinance,,,info@grid.finance,,"Dublin, Dublin, Ireland",35315241615,"GRID Finance is transforming banking and financial services in Ireland by building innovative financial products for the connected generation. GRID Finance’s vision is to lead change in banking, both in Ireland and globally by building practical financial products that support and respond to people's modern lifestyles. They want these financial products to help real people, local businesses and community organisations to: - Access the money they need - Get a return on the money they have - Better manage and budget their money They believe that by creating an online community that finances itself through modern online financial products, the traditional idea of a community bank can be redefined and transformed to meet people’s changing financing needs. GRID Finance’s first product is a peer to peer financing platform called the GRID. The GRID connects those who have money with those who need it. The GRID allows real people to decide how to put their money to work by lending to local businesses, donating to community organisations and gifting to family and friends.",,https://www.gridfinance.ie/,"Financial Services, Lending and Investments",,Debt Financing,6,,1,2022,Venture - Series Unknown,2,,104389472,,,104389473,,1,,,,,,Private,,,,,,,,,,,,,,,17398245.5,17398245.33,,,,"Personal Finance, Financial Services, Finance",Financial Services & Fintech,Yes
FTX,https://www.crunchbase.com/organization/ftx-exchange,$1B to $10B,"Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Trading Platform","31,647",FTX is a cryptocurrency exchange company that develops a mobile trading platform.,Closed,2019,For Profit,,https://www.twitter.com/FTX_official,"1,776",,6,https://www.linkedin.com/company/ftx,,https://www.facebook.com/ftx.official,,2,support@ftx.com,,"Nassau, New Providence, Bahamas",+60 11-3400 8099,"FTX Exchange is a cryptocurrency exchange company that develops a platform for professional trading firms. They strive to build a platform suitable for professional trading firms and intuitive enough for first-time users. FTX supports quarterly and perpetual futures for all cryptocurrencies, leveraged tokens, and OTC. FTX was incubated by Alameda Research, a top cryptocurrency liquidity provider. Because of this, FTX has had industry order books from day one.",1,https://ftx.com,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",1,Venture - Series Unknown,176,,,2022,Venture - Series Unknown,7,,,,1828690000,1828690000,Made Acquisitions,6,,,9,,,Private,,,,,,,,,,,,,,,10390284.09,,,,,"Trading Platform, Cryptocurrency, Financial Services",Financial Services & Fintech,Yes
ClickSWITCH,https://www.crunchbase.com/organization/clickswitch,$1M to $10M,"B2B, Banking, Financial Services, FinTech, SaaS","31,915",ClickSWITCH is an automated account switching solution for financial institutions and FinTechs.,Closed,2014,For Profit,2021,https://twitter.com/click_switch,5,,,https://www.linkedin.com/company/3559802/,,https://www.facebook.com/MyClickSwitch/,,,sales@clickswitch.com,,"Minneapolis, Minnesota, United States",866-410-6761,"ClickSWITCH is an automated account holder acquisition technology for financial institutions and FinTechs that simplifies the process of bringing new depositors onboard by quickly, safely, and efficiently switching their direct deposits and recurring payments from their old accounts to new ones. Based in Minneapolis, the company’s industry-leading solution helps clients to increase account holder acquisition and activation rates, engage during onboarding, and cross-sell products to capture full profit potential. ClickSWITCH delivers solutions to financial institutions and FinTechs of all sizes. ClickSWITCH's mission is empowering consumer choice while enabling competitive profitable financial institutions.",,http://www.clickswitch.com,"Financial Services, Lending and Investments, Other, Software",,Series B,31,M&A,1,2020,Series B,4,,2000000,2000000,18500000,19075000,Was Acquired,3,Q2ebanking,https://www.crunchbase.com/organization/q2ebanking,,Acquisition,,Private,,,,,,7,,,,,,,,,615322.5806,64516.12903,,,,"Financial Services, SaaS, FinTech",Financial Services & Fintech,Yes
Status Money,https://www.crunchbase.com/organization/status-money,$1M to $10M,"Advertising Platforms, Advice, Banking, Bitcoin, Credit Cards, Cryptocurrency, Finance, Financial Services, FinTech, Personal Finance","31,964",Status Money is a social personal finance app that enables people to compare finances and crowdsource advice from peers.,Closed,2016,For Profit,,https://twitter.com/StatusMoneyUSA,6,,,https://www.linkedin.com/company/24428849/,,https://www.facebook.com/StatusMoneyUSA/,,,contact@statusmoney.com,,"New York, New York, United States",,Status Money is a personal finance app that shows consumers how they compare with their peers and gives them cash and crypto rewards for engaging with targeted offers designed to improve their finances. It's introducing its own suite of financial services starting with a credit card in 2021.,,http://statusmoney.com,"Advertising, Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Media and Entertainment, Payments, Software",,Series A,6,Early Stage Venture,2,2022,Series A,7,,,,4405000,13405000,,3,,,,,,Private,,,,,,,,,,,,,,,2234166.667,,,,,"Personal Finance, Advice, Finance",Financial Services & Fintech,Yes
Sensibill,https://www.crunchbase.com/organization/sensibill,,"Banking, Big Data, Financial Services, FinTech, Retail","32,254","Sensibill makes SKU-level data actionable, equipping financial institutions with insights to help their customers.",Closed,2013,For Profit,2022,https://twitter.com/getsensibill,58,,,https://www.linkedin.com/company/sensibill-inc-,,http://facebook.com/getsensibill,,,contact@getsensibill.com,,"Toronto, Ontario, Canada",+1 833  767 2455,"Sensibill provides everyday financial tools and makes SKU-level data actionable, equipping financial institutions with personalized insights to help their customers build healthier financial habits. The AI-powered solution enables end-users to easily track their spending and manage their finances while unlocking unprecedented insights for the institution. Sensibill has rolled out its technology to over 60 million users across North America and the U.K. Visit getsensibill.com to learn more.",,https://getsensibill.com ,"Commerce and Shopping, Data and Analytics, Financial Services, Lending and Investments",,Debt Financing,76,M&A,2,2021,Series B,6,,2000000,31500000,50401611,57401611,Was Acquired,7,Q2ebanking,https://www.crunchbase.com/organization/q2ebanking,,Acquisition,,Private,,,,,,9,,,,,,,,,755284.3553,26315.78947,,,,"Financial Services, Big Data, Retail",Financial Services & Fintech,Yes
RocketFuel,https://www.crunchbase.com/organization/rocketfuel-blockchain,,"Blockchain, E-Commerce, Internet, Payments, Security","32,646","RocketFuel is a global payments solution company that provides shoppers with a simple, easy-to-use, one-click crypto & ACH checkout process.",Closed,2020,For Profit,2018,https://twitter.com/RocketFuelWeb3,6,,,https://www.linkedin.com/company/1RocketFuel,,https://www.facebook.com/1RocketFuel,,,contact@rocketfuel.inc,,"San Francisco, California, United States",833-7535-729,"RocketFuel is a global payments solution company that provides online shoppers with a simple, easy-to-use, one-click checkout process that accepts payments with bank transfers, Bitcoin and 160+ cryptocurrencies. RocketFuel delivers a highly secure and efficient shopping cart experience with significantly low fees for merchants, along with the benefits of no chargebacks and no card declines. RocketFuel also offers payouts, B2B cross-border crypto payment solutions, invoicing and a crypto payments service, and is developing a point-based loyalty program. More information about RocketFuel is available at: www.rocketfuel.inc",,https://www.RocketFuel.inc/,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Privacy and Security",,Private Equity,6,IPO,,2021,Private Equity,2,,1000000,1000000,3000000,3000000,,,,,,,,Public,,2018,,,-2,-2,-3,,,,,,,,500000,166666.6667,,,,"Payments, Security, Internet",Financial Services & Fintech,Yes
Four Foods,https://www.crunchbase.com/organization/four-foods-group-ffg,$10M to $50M,"Employment, Financial Services, Restaurants","32,667","Four Foods is a restaurant development, investment, operations and management company.",Closed,2008,For Profit,,https://www.twitter.com/fourfoodsgroup,5,,,https://www.linkedin.com/company/four-foods-group,,https://www.facebook.com/pages/The-Four-Foods-Group/264766003665236,,,info@fourfoodsgroup.com,,"American Fork, Utah, United States",1.18E+11,"Four Foods is a restaurant development, investment, operations and management company with 40 restaurant locations and an additional 5 in development. FFG has ranked among Inc. magazine’s 500/5000 Fastest Growing Companies in America for five consecutive years, and as a Utah Fast 50, MWCN Top 100, and BusinessQ fastest growing company for the past 5 years. The company currently employs over 1,800 employees in a four-state territory and plans on surpassing 2,000 employees by the end of 2016. Their restaurants rank among the Technomic Top 150 Fast Casual Restaurants. Four Foods Group currently has a development agreement in place with a regional brand, Kneaders Bakery & Café (“Kneaders”), which provides the company with exclusive development and territory rights in 15 states.",,http://www.fourfoodsgroup.com/,"Financial Services, Food and Beverage, Professional Services",,Venture - Series Unknown,3001,,2,2017,Venture - Series Unknown,3,,32000000,32000000,67000000,70620000,Made Acquisitions,3,,,4,,,Private,,,,,,,,,,,,,,,23532.15595,10663.1123,,,,"Employment, Financial Services, Restaurants",Financial Services & Fintech,Yes
Ashv Finance,https://www.crunchbase.com/organization/intellegrow,$1M to $10M,"Banking, Finance, Financial Services, Insurance, Lending","33,289",Ashv Finance provides debt finance and skills support to small and growing businesses in India.,Closed,2010,For Profit,,https://www.twitter.com/intellegrow,5,,1,https://www.linkedin.com/company/ashvfinance,,,,,info@intellegrow.com,,"Mumbai, Maharashtra, India",+91 22 62492 700,"Ashv Finance serves the ‘missing middle’ enterprises working in sectors which make a positive Environmental, Social and Governance Impact. IntelleGrow offers debt without limiting them on their vintage or the security value offered for the loan – instead, the proposition is based on trajectory of business cashflows. It is not only lending from its Balance Sheet but also syndicating and arranging debt from other sources – gradually emerging as a debt solutions provider for ‘early-stage’, ‘high-growth’ small and growing businesses (SGB) in India.",,https://www.ashvfinance.com,"Financial Services, Lending and Investments",,Series E,31,Late Stage Venture,2,2023,Series E,5,,9999729,9999729,39939730,39939730,,3,,,,,,Private,,,,,,,,,,,,,,,1288378.387,322571.9032,,,,"Finance, Lending, Insurance",Financial Services & Fintech,Yes
